SampleNumber,Site,CollectDate,SiO2,TP,Si_corrected
FMP00007,"Flathead Lake, Midlake Deep",1984-02-01,5.48,4.28,0
FMP00017,"Flathead Lake, Midlake Deep",1984-03-05,4.98,2.95,0
FMP00027,"Flathead Lake, Midlake Deep",1984-04-03,4.97,2.80,0
FMP00045,"Flathead Lake, Midlake Deep",1984-04-30,4.45,4.82,0
FMP00055,"Flathead Lake, Midlake Deep",1984-05-15,4.51,2.99,0
FMP00065,"Flathead Lake, Midlake Deep",1984-05-21,4.81,5.20,0
FMP00069,"Flathead Lake, Midlake Deep",1984-05-24,NA,4.01,0
FMP00075,"Flathead Lake, Midlake Deep",1984-06-25,4.30,6.66,0
FMP00082,"Flathead Lake, Midlake Deep",1984-07-25,4.59,2.94,0
FMP00091,"Flathead Lake, Midlake Deep",1984-08-07,5.31,3.01,0
FMP00102,"Flathead Lake, Midlake Deep",1984-09-05,4.49,3.56,0
FMP00113,"Flathead Lake, Midlake Deep",1984-10-02,4.82,3.38,0
FMP00123,"Flathead Lake, Midlake Deep",1984-11-12,5.49,5.03,0
FMP00134,"Flathead Lake, Midlake Deep",1984-12-12,5.53,3.39,0
FMP00145,"Flathead Lake, Midlake Deep",1985-01-07,5.45,3.01,0
FMP00157,"Flathead Lake, Midlake Deep",1985-02-10,3.68,5.33,0
FMP00168,"Flathead Lake, Midlake Deep",1985-03-04,5.09,3.86,0
FMP00203,"Flathead Lake, Midlake Deep",1985-04-25,5.18,6.63,0
FMP00213,"Flathead Lake, Midlake Deep",1985-05-12,5.15,8.16,0
FMP00226,"Flathead Lake, Midlake Deep",1985-05-27,4.25,3.84,0
FMP00238,"Flathead Lake, Midlake Deep",1985-06-11,5.10,10.75,0
FMP00255,"Flathead Lake, Midlake Deep",1985-07-01,3.07,4.53,0
FMP00266,"Flathead Lake, Midlake Deep",1985-07-29,5.15,6.10,0
FMP00277,"Flathead Lake, Midlake Deep",1985-08-26,3.75,3.42,0
FMP00288,"Flathead Lake, Midlake Deep",1985-09-09,4.11,2.87,0
